candidate,parameter_path,value
reference motif,scale,0.0012297974490120555
reference motif,background_coefficients[0],4.615094238575414
reference motif,background_coefficients[1],0.7419199703163084
reference motif,zero_shift,0.0
reference motif,profile_model,"""TCH split pseudo-Voigt"""
reference motif,gaussian_u,0.003754860483654912
reference motif,gaussian_v,0.0004802301886176899
reference motif,gaussian_w,0.0065664633779561644
reference motif,lorentzian_x,0.006346707820830984
reference motif,lorentzian_y,0.006485176277840893
reference motif,axial_asymmetry,0.03790913606046793
reference motif,specimen_displacement_mm,0.0
reference motif,goniometer_radius_mm,null
reference motif,lattice[0][0],4.773326862202136
reference motif,lattice[0][1],0.00010328708207835471
reference motif,lattice[0][2],0.5017638896587608
reference motif,lattice[1][0],1.479215275113713
reference motif,lattice[1][1],5.089882516919196
reference motif,lattice[1][2],1.0302844580195722
reference motif,lattice[2][0],6.416651653515755e-05
reference motif,lattice[2][1],-6.572555780335804e-05
reference motif,lattice[2][2],6.199726424220079
reference motif,cell_parameters.a,4.79962668809296
reference motif,cell_parameters.b,5.399672946633538
reference motif,cell_parameters.c,6.199726424900527
reference motif,cell_parameters.alpha,79.00065249090515
reference motif,cell_parameters.beta,83.99861133623223
reference motif,cell_parameters.gamma,72.99760261669073
reference motif,lattice_parameterization.crystal_system,"""triclinic"""
reference motif,lattice_parameterization.mode_labels[0],"""triclinic.metric_mode_1"""
reference motif,lattice_parameterization.mode_labels[1],"""triclinic.metric_mode_2"""
reference motif,lattice_parameterization.mode_labels[2],"""triclinic.metric_mode_3"""
reference motif,lattice_parameterization.mode_labels[3],"""triclinic.metric_mode_4"""
reference motif,lattice_parameterization.mode_labels[4],"""triclinic.metric_mode_5"""
reference motif,lattice_parameterization.mode_labels[5],"""triclinic.metric_mode_6"""
reference motif,lattice_parameterization.log_strain_coordinates[0],0.0005230661141610527
reference motif,lattice_parameterization.log_strain_coordinates[1],-0.0022740692464586452
reference motif,lattice_parameterization.log_strain_coordinates[2],0.0021532822013097005
reference motif,lattice_parameterization.log_strain_coordinates[3],-0.0072965877204262345
