candidate,parameter_path,value
reference motif,scale,0.0012292769688133005
reference motif,background_coefficients[0],4.584927425128056
reference motif,background_coefficients[1],0.6621896233450839
reference motif,zero_shift,0.0
reference motif,profile_model,"""TCH split pseudo-Voigt"""
reference motif,gaussian_u,0.003471046236406072
reference motif,gaussian_v,0.00032731791099960674
reference motif,gaussian_w,0.005003439495239866
reference motif,lorentzian_x,0.009212277435016205
reference motif,lorentzian_y,0.00945615015823189
reference motif,axial_asymmetry,0.05398198880711295
reference motif,specimen_displacement_mm,0.0
reference motif,goniometer_radius_mm,null
reference motif,lattice[0][0],4.773243101648808
reference motif,lattice[0][1],0.000197005762490032
reference motif,lattice[0][2],0.5018469479844891
reference motif,lattice[1][0],1.4793075609453317
reference motif,lattice[1][1],5.089718889790573
reference motif,lattice[1][2],1.0302808391841982
reference motif,lattice[2][0],0.00017508950932416625
reference motif,lattice[2][1],-9.649651689748577e-05
reference motif,lattice[2][2],6.199697420882602
reference motif,cell_parameters.a,4.799552073417951
reference motif,cell_parameters.b,5.399543299627396
reference motif,cell_parameters.c,6.199697424105978
reference motif,cell_parameters.alpha,79.00041116061136
reference motif,cell_parameters.beta,83.99649561540635
reference motif,cell_parameters.gamma,72.99488120693752
reference motif,lattice_parameterization.crystal_system,"""triclinic"""
reference motif,lattice_parameterization.mode_labels[0],"""triclinic.metric_mode_1"""
reference motif,lattice_parameterization.mode_labels[1],"""triclinic.metric_mode_2"""
reference motif,lattice_parameterization.mode_labels[2],"""triclinic.metric_mode_3"""
reference motif,lattice_parameterization.mode_labels[3],"""triclinic.metric_mode_4"""
reference motif,lattice_parameterization.mode_labels[4],"""triclinic.metric_mode_5"""
reference motif,lattice_parameterization.mode_labels[5],"""triclinic.metric_mode_6"""
reference motif,lattice_parameterization.log_strain_coordinates[0],0.0024141087004156403
reference motif,lattice_parameterization.log_strain_coordinates[1],-0.004186105410656971
reference motif,lattice_parameterization.log_strain_coordinates[2],0.004424912155516025
reference motif,lattice_parameterization.log_strain_coordinates[3],-0.011334633567513942
reference motif,lattice_parameterization.log_strain_coordinates[4],-0.009981283711317103
reference motif,lattice_parameterization.log_strain_coordinates[5],-0.004880479431673458
reference motif,coordinate_displacements[0],0.0034037351969257506
reference motif,coordinate_displacements[1],-0.00033545491703697197
reference motif,coordinate_displacements[2],0.0021393617658896544
reference motif,coordinate_displacements[3],0.0021104039442163026
reference motif,coordinate_displacements[4],0.0013693077326472022
reference motif,coordinate_displacements[5],0.0012645990556969353
reference motif,coordinate_displacements[6],0.00035457049712864393
reference motif,coordinate_displacements[7],0.001969038576865884
reference motif,coordinate_displacements[8],0.0014469563059194175
reference motif,coordinate_displacements[9],-0.0014166513981055551
reference motif,coordinate_displacements[10],-0.0004915646367598561
reference motif,coordinate_displacements[11],-0.0014168874215232214
reference motif,occupancy_mode,"""fixed"""
reference motif,structural_restraint_mean_chi_squared,0.0
reference motif,fit_objective,"""gaussian"""
reference motif,mean_poisson_deviance,null
oxygen-shift candidate,scale,0.001226203525162487
oxygen-shift candidate,background_coefficients[0],4.577270813709844
oxygen-shift candidate,background_coefficients[1],0.6616346024357322
oxygen-shift candidate,zero_shift,0.0
oxygen-shift candidate,profile_model,"""TCH split pseudo-Voigt"""
